Transaction_ID,Customer_ID,Transaction_Amount,Transaction_Time,Merchant_Category,Transaction_Location,Card_Type,Device_Type,Is_Fraud
T100000,C5292,215.55,17-05-25 21:59,Restaurants,Ericatown,Prepaid,Mobile,0
T100001,C6017,31.65,14-08-25 09:46,Clothing,Robertsonville,Debit,POS,0
T100002,C3972,170.38,22-06-25 02:13,Travel,Hendersonberg,Credit,POS,1
T100003,C3521,310.73,30-06-25 22:21,Clothing,Lopezshire,Debit,POS,0
T100004,C4861,80.98,10-06-25 11:47,Restaurants,Marisabury,Debit,Web,0
T100005,C6400,497.77,03-04-25 04:25,Electronics,New Samuelburgh,Debit,Mobile,0
T100006,C5446,421.62,24-08-25 04:36,Groceries,New Raymondfort,Credit,POS,0
T100007,C7975,264.16,21-07-25 19:27,Electronics,Hamiltontown,Debit,Web,0
T100008,C8328,126.12,22-05-25 20:43,Entertainment,Port Wendyberg,Prepaid,Web,0
T100009,C1711,122,20-01-25 11:42,Groceries,Clarkton,Credit,POS,0
T100010,C5704,220.53,16-05-25 14:55,Electronics,Port Meganchester,Debit,Web,0
T100011,C4130,166.31,23-08-25 05:32,Entertainment,Millerhaven,Prepaid,POS,0
T100012,C8140,494.37,25-08-25 23:40,Health,Wuside,Credit,POS,0
T100013,C8417,467.63,10-02-25 07:19,Health,West Kristi,Prepaid,POS,0
T100014,C5565,256.75,12-07-25 01:02,Electronics,Andradeton,Prepaid,Mobile,0
T100015,C7743,492.08,25-03-25 05:06,Restaurants,New Dennis,Prepaid,Mobile,0
T100016,C6383,245.16,30-05-25 15:40,Travel,Allenview,Debit,Mobile,0
T100017,C7074,423.83,06-07-25 17:31,Health,South Allisonstad,Debit,Mobile,0
T100018,C4531,356.29,18-03-25 11:26,Health,Lake Sandra,Credit,Web,0
T100019,C9681,456.87,23-02-25 04:02,Electronics,Watkinsfurt,Debit,Mobile,0
T100020,C5427,218.24,12-03-25 19:39,Entertainment,North Dwaynechester,Credit,Mobile,0
T100021,C1453,303.07,14-02-25 13:49,Entertainment,Herreraland,Prepaid,Web,0
T100022,C5023,127.5,25-07-25 11:01,Health,Fitzpatrickfurt,Debit,Web,0
T100023,C7853,384.17,24-04-25 21:47,Electronics,South Josephmouth,Debit,POS,0
T100024,C9488,559.17,23-01-25 09:59,Restaurants,Johnsonchester,Credit,Mobile,0
T100025,C9120,99.68,18-07-25 17:44,Groceries,West Josephside,Credit,Web,0
T100026,C9842,56.69,05-05-25 17:50,Travel,Sonyaton,Debit,POS,0
T100027,C8844,433.01,23-06-25 19:27,Health,Lake Kimberlymouth,Credit,Mobile,0
T100028,C5376,481.7,17-03-25 13:15,Entertainment,East Briannaburgh,Prepaid,POS,0
T100029,C1194,461.67,28-05-25 22:43,Health,East Heather,Debit,Mobile,0
T100030,C1228,209.31,30-06-25 07:39,Travel,Rodneyside,Debit,POS,0
